Date,Commodity No,Commodity ,UN code ,Country Name,Import Value (BD),Import Value (USA $),Import Weight (KG),Import Quantity,UM
11/1/2020,85073000,NICKEL-CADMIUM ELECTRIC ACCUMULATORS,US,UNITED STATES OF AMERICA,143.4535595,381.5254242,0.5,2,NO
11/1/2020,85075000,Nickel-metal hybride ELECTRIC ACCUMULATORS,JP,JAPAN,15981.46299,42503.89094,1018,9828,NO
11/1/2020,85075000,Nickel-metal hybride ELECTRIC ACCUMULATORS,US,UNITED STATES OF AMERICA,455.1434689,1210.487949,6.5,6,NO
11/1/2020,85076000,Lithium-ion ELECTRIC ACCUMULATORS,CA,CANADA,5676.472847,15097.00225,170,1,NO
11/1/2020,85076000,Lithium-ion ELECTRIC ACCUMULATORS,CN,CHINA,14370.48186,38219.36665,913.203,1439,NO
11/1/2020,85076000,Lithium-ion ELECTRIC ACCUMULATORS,HK,HONG KONG,3.4563371,9.192385904,0.227,1,NO
11/1/2020,85076000,Lithium-ion ELECTRIC ACCUMULATORS,KR,REPUBLIC OF KOREA,278.320056,740.2129148,6.847,14,NO
11/1/2020,85076000,Lithium-ion ELECTRIC ACCUMULATORS,PL,POLAND,5234.658586,13921.96432,499.995,186,NO
11/1/2020,85076000,Lithium-ion ELECTRIC ACCUMULATORS,US,UNITED STATES OF AMERICA,192.102681,510.9113857,34.227,4,NO
11/1/2020,85078000,OTHER ACCUMULATORS,MY,MALAYSIA,199.3598157,530.2122759,3.698,16,NO
11/1/2020,85078000,OTHER ACCUMULATORS,US,UNITED STATES OF AMERICA,1622.820421,4316.011758,75.164,4,NO
11/1/2020,85079000,PARTS FOR ELECTRIC ACCUMULATORS,AT,AUSTRIA,48.82821255,129.8622674,6.706,6.706,KG
11/1/2020,85081100,VACUUM CLEANERS OF A POWER NOT EXCEEDING 1500 W AND HAVING A DUST BAG OR OTHER RECEPTACLE CAPACITY NOT EXCEEDING 20 L,CN,CHINA,56601.61436,150536.2084,15654.497,3438,NO
11/1/2020,85081100,VACUUM CLEANERS OF A POWER NOT EXCEEDING 1500 W AND HAVING A DUST BAG OR OTHER RECEPTACLE CAPACITY NOT EXCEEDING 20 L,MY,MALAYSIA,11910.77788,31677.60075,526,86,NO
11/1/2020,85081100,VACUUM CLEANERS OF A POWER NOT EXCEEDING 1500 W AND HAVING A DUST BAG OR OTHER RECEPTACLE CAPACITY NOT EXCEEDING 20 L,RO,ROMANIA,2346.243689,6240.009811,386.8,34,NO
11/1/2020,85081900,VACUUM CLEANERS WITH SELF-CONTAINED ELECTRIC MOTOR,CN,CHINA,73588.55372,195714.2386,36783.522,4804,NO
11/1/2020,85081900,VACUUM CLEANERS WITH SELF-CONTAINED ELECTRIC MOTOR,DE,GERMANY,614.828377,1635.181854,81.791,2,NO
11/1/2020,85087000,PARTS FOR VACUUM CLEANERS WITH SELF-CONTAINED ELECTRIC MOTOR,DE,GERMANY,2.26401,6.021303191,1,1,KG
11/1/2020,85087000,PARTS FOR VACUUM CLEANERS WITH SELF-CONTAINED ELECTRIC MOTOR,IT,ITALY,1.24447681,3.30977875,0.07,0.07,KG
11/1/2020,85087000,PARTS FOR VACUUM CLEANERS WITH SELF-CONTAINED ELECTRIC MOTOR,RO,ROMANIA,81.70289845,217.2949427,11.1,11.1,KG
11/1/2020,85094000,FOOD GRINDERS AND MIXERS; JUICE EXTRACTORS,CZ,CZECH REPUBLIC,1687.4734,4487.96117,329.773,100,NO
11/1/2020,85094000,FOOD GRINDERS AND MIXERS; JUICE EXTRACTORS,HU,HUNGARY,368.17476,979.1881915,71.95,60,NO
11/1/2020,85094000,FOOD GRINDERS AND MIXERS; JUICE EXTRACTORS,PL,POLAND,82.838496,220.3151489,16.188,9,NO
11/1/2020,85094000,FOOD GRINDERS AND MIXERS; JUICE EXTRACTORS,US,UNITED STATES OF AMERICA,1124.574423,2990.889423,158.256,23,NO
11/1/2020,85098040,ELECTRIC TOOTH BRUSHES,CH,SWITZERLAND,61.9518111,164.7654551,10,5,NO
11/1/2020,85098090,OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,IE,IRELAND,901.817,2398.449468,12.284,31,NO
11/1/2020,85098090,OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,JP,JAPAN,24.51965,65.21183511,45,1,NO
11/1/2020,85098090,OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,KR,REPUBLIC OF KOREA,3408.607002,9065.444154,208,312,NO
11/1/2020,85098090,OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,PT,PORTUGAL,446.315175,1187.008444,25,2,NO
11/1/2020,85098090,OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,SA,SAUDI ARABIA,14.855125,39.50831117,10,1,NO
11/1/2020,85099000,PARTS FOR DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,KR,REPUBLIC OF KOREA,109.2231434,290.4870836,44.883,44.883,KG
11/1/2020,85101000,SHAVERS WITH ELECTRIC MOTOR,JP,JAPAN,5427.651366,14435.24299,191,400,NO
11/1/2020,85101000,SHAVERS WITH ELECTRIC MOTOR,NL,NETHERLANDS,1428.270666,3798.592197,11.59,28,NO
11/1/2020,85101000,SHAVERS WITH ELECTRIC MOTOR,TH,THAILAND,100.3351549,266.8488163,5,50,NO
11/1/2020,85102000,HAIR CLIPPERS WITH ELECTRIC MOTOR,CN,CHINA,33418.23059,88878.27286,2010.26,3926,NO
11/1/2020,85111000,SPARKING PLUGS,CN,CHINA,1756.149261,4670.609737,164.642,765,NO
11/1/2020,85111000,SPARKING PLUGS,FR,FRANCE,95.9772228,255.2585713,27.706,31,NO
11/1/2020,85111000,SPARKING PLUGS,GB,UNITED KINGDOM,283.8177232,754.8343702,1.67,1,NO
11/1/2020,85111000,SPARKING PLUGS,IT,ITALY,159.3966308,423.9272097,0.5,12,NO
11/1/2020,85111000,SPARKING PLUGS,JP,JAPAN,137822.5511,366549.338,10958.803,46348.48,NO
11/1/2020,85111000,SPARKING PLUGS,MX,MEXICO,4498.805906,11964.90932,471.728,1691,NO
11/1/2020,85111000,SPARKING PLUGS,TH,THAILAND,129.5036205,344.4245226,19.255,12,NO
11/1/2020,85112000,IGNITION MAGNETOS; MAGNETO-DYNAMOS; MAGNETIC FLYWHEELS,CN,CHINA,38.27476,101.7945745,20,4,NO
11/1/2020,85112000,IGNITION MAGNETOS; MAGNETO-DYNAMOS; MAGNETIC FLYWHEELS,JP,JAPAN,1423.424593,3785.703705,505.8,514,NO
11/1/2020,85113000,DISTRIBUTORS; IGNITION COILS,KR,REPUBLIC OF KOREA,1806.001512,4803.19551,113.835,113.835,KG
11/1/2020,85113000,DISTRIBUTORS; IGNITION COILS,MX,MEXICO,212.5054305,565.1740172,22.784,22.784,KG
11/1/2020,85114000,STARTER MOTORS AND DUAL PURPOSE STARTER-GENERATORS,IT,ITALY,116.3182846,309.35714,6.097,6.097,KG
11/1/2020,85114000,STARTER MOTORS AND DUAL PURPOSE STARTER-GENERATORS,PL,POLAND,237.4637868,631.5526244,12.1,12.1,KG
11/1/2020,85114000,STARTER MOTORS AND DUAL PURPOSE STARTER-GENERATORS,TH,THAILAND,152.2495227,404.9189433,16,16,KG
11/1/2020,85114000,STARTER MOTORS AND DUAL PURPOSE STARTER-GENERATORS,UA,UKRAINE,428.0930235,1138.545275,43.12,43.12,KG
11/1/2020,85115000,OTHER GENERATORS,BG,BULGARIA,65.99621034,175.521836,5.65,1,NO
11/1/2020,85115000,OTHER GENERATORS,CN,CHINA,5356.057822,14244.83463,1400.952,189,NO
11/1/2020,85115000,OTHER GENERATORS,DE,GERMANY,77.36118146,205.747823,1,1,NO
11/1/2020,85115000,OTHER GENERATORS,FR,FRANCE,678.9847635,1805.810541,46.6,7,NO
